"State","Confirmed","Deaths"
"Alabama",138,0
"Alaska",21,0
"American Samoa",0,0
"Arizona",152,2
"Arkansas",255,0
"California",1586,20
"Colorado",476,5
"Connecticut",223,5
"Delaware",47,0
"District Of Columbia",102,2
"Federated States Of Micronesia",0,0
"Florida",830,8
"Georgia",600,16
"Guam",27,1
"Hawaii",48,0
"Idaho",42,0
"Illinois",1347,6
"Indiana",233,4
"Iowa",90,0
"Kansas",64,2
"Kentucky",99,4
"Louisiana",837,9
"Maine",89,0
"Marshall Islands",0,0
"Maryland",244,3
"Massachusetts",646,5
"Michigan",1007,9
"Minnesota",169,0
"Mississippi",207,2
"Missouri",88,2
"Montana",31,0
"Nebraska",51,0
"Nevada",190,2
"New Hampshire",65,0
"New Jersey",1914,14
"New Mexico",57,0
"New York",15782,22
"North Carolina",310,0
"North Dakota",28,0
"Northern Mariana Islands",0,0
"Ohio",355,0
"Oklahoma",67,2
"Oregon",161,4
"Palau",0,0
"Pennsylvania",481,2
"Puerto Rico",23,1
"Rhode Island",87,0
"South Carolina",196,0
"South Dakota",21,0
"Tennessee",478,2
"Texas",622,3
"Utah",176,1
"Vermont",52,2
"Virgin Islands",0,0
"Virginia",221,3
"Washington",1794,63
"West Virginia",12,0
"Wisconsin",372,5
"Wyoming",24,0
